Top pages,Clicks,Impressions,CTR,Position
https://www.scandicommerce.no/merch/premium-unisex-crewneck-t-shirt-bella-canvas-3001,0,21,0%,10.67
https://www.scandicommerce.no/en/resources/10-essential-shopify-apps-for-norwegian-e-commerce-in-2025,0,20,0%,7.55
https://www.scandicommerce.no/merch/classic-unisex-pullover-hoodie-gildan-18500,0,14,0%,19
https://scandicommerce.no/products/foundation,0,13,0%,4.62
https://www.scandicommerce.no/tjenester/alle-pakker/premium,0,13,0%,17
https://www.scandicommerce.no/merch/premium-unisex-pullover-hoodie-justhoods-jh001,0,12,0%,11.42
https://www.scandicommerce.no/merch/classic-baby-short-sleeve-bodysuit,0,11,0%,7.73
https://www.scandicommerce.no/merch/classic-unisex-crewneck-sweatshirt-gildan-18000,0,11,0%,8.18
https://scandicommerce.no/pages/gdpr,0,10,0%,4.5
https://www.scandicommerce.no/merch/white-17oz-stainless-steel-water-bottle,0,10,0%,11.6
https://shopify.scandicommerce.no/pages/shopify-tco-calculator,0,9,0%,9.11
https://www.scandicommerce.no/tjenester/alle-pakker/foundation,0,8,0%,7.5
https://scandicommerce.no/blogs/how-we-work/level-up-fra-hobby-til-utfordrer,0,8,0%,7.62
https://www.scandicommerce.no/merch/classic-baby-long-sleeve-bodysuit,0,8,0%,8.75
https://www.scandicommerce.no/merch/classic-unisex-crewneck-t-shirt-gildan-64000,0,8,0%,16.5
https://scandicommerce.no/products/organic-baby-short-sleeve-bodysuit-sols-organic-bambino-01192,0,7,0%,10.71
https://shopify.scandicommerce.no/blogs/cro/5-checkout-optimization-tricks-that-boost-your-sales,0,6,0%,4.67
https://www.scandicommerce.no/merch?page=2,0,6,0%,5.5
https://www.scandicommerce.no/merch/polycotton-unisex-crewneck-t-shirt,0,6,0%,10
https://scandicommerce.no/products/heavyweight-unisex-crewneck-t-shirt-gildan-5000,0,5,0%,5.8
https://www.scandicommerce.no/no/resources/slik-jobber-vi-med-shopify-plus-kunder,0,5,0%,5.8
https://www.scandicommerce.no/merch/white-15oz-stainless-steel-travel-mug,0,5,0%,10
https://www.scandicommerce.no/merch/premium-unisex-pullover-hoodie-laneseven-ls13001,0,5,0%,34.4
https://shopify.scandicommerce.no/pages/shopify-migration,0,4,0%,5
https://scandicommerce.no/products/white-17oz-stainless-steel-water-bottle,0,4,0%,9.75
https://www.scandicommerce.no/merch/premium-unisex-v-neck-t-shirt,0,4,0%,15.75
https://www.scandicommerce.no/merch/organic-baby-short-sleeve-bodysuit-sols-organic-bambino-01192,0,4,0%,16.75
https://shopify.scandicommerce.no/collections/all,0,3,0%,3.33
https://scandicommerce.no/products/premium-unisex-crewneck-t-shirt-bella-canvas-3001,0,3,0%,4.67
https://scandicommerce.no/blogs/e-commerce-strategy-growth,0,3,0%,5
https://www.scandicommerce.no/merch/11oz-ceramic-mug,0,3,0%,8.33
https://scandicommerce.no/products/classic-baby-long-sleeve-bodysuit,0,3,0%,9
https://shopify.scandicommerce.no/products/premium-unisex-crewneck-t-shirt-bella-canvas-3001?variant=50980779163935,0,2,0%,3.5
https://scandicommerce.no/blogs/cro,0,2,0%,4
https://shopify.scandicommerce.no/collections/packages,0,2,0%,6.5
https://scandicommerce.no/products/polycotton-unisex-crewneck-t-shirt,0,2,0%,7.5
https://shopify.scandicommerce.no/collections/merch,0,2,0%,7.5
https://shopify.scandicommerce.no/collections/merch?page=2,0,2,0%,9
https://shopify.scandicommerce.no/products/enterprise,0,2,0%,10
https://scandicommerce.no/products/premium-unisex-pullover-hoodie-laneseven-ls13001,0,2,0%,13
https://shopify.scandicommerce.no/products/premium-unisex-crewneck-t-shirt-bella-canvas-3001,0,2,0%,34
https://shopify.scandicommerce.no/blogs/how-we-work/level-up-fra-hobby-til-utfordrer,0,2,0%,42.5
https://shopify.scandicommerce.no/products/premium-unisex-crewneck-t-shirt-bella-canvas-3001?variant=50980779196703,0,1,0%,1
https://shopify.scandicommerce.no/products/premium-unisex-crewneck-t-shirt-bella-canvas-3001?variant=50980779458847,0,1,0%,1
https://shopify.scandicommerce.no/products/premium-unisex-crewneck-t-shirt-bella-canvas-3001?variant=50980779491615,0,1,0%,1
https://shopify.scandicommerce.no/products/premium-unisex-crewneck-t-shirt-bella-canvas-3001?variant=50980779557151,0,1,0%,1
https://shopify.scandicommerce.no/pages/articles,0,1,0%,2
https://shopify.scandicommerce.no/products/white-15oz-stainless-steel-travel-mug,0,1,0%,5
https://scandicommerce.no/products/flexi-case,0,1,0%,6
https://shopify.scandicommerce.no/products/classic-unisex-crewneck-t-shirt-gildan-64000,0,1,0%,6
https://scandicommerce.no/pages/us-laws-compliance,0,1,0%,7
https://shopify.scandicommerce.no/products/foundation,0,1,0%,8
https://scandicommerce.no/blogs/shopify-optimization-performance,0,1,0%,10
https://scandicommerce.no/pages/pos-venteliste,0,1,0%,10
https://scandicommerce.no/cdn/shop/articles/Shopify-plus-partner-logo_0f94c126-bcbd-4e77-ae94-5ad7425a00a9_1200x630.png?v=1752075869,0,1,0%,34
